,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,chair,couch,potted plant,bed,dining table,y_test,y_pred
13027,0.0,0.0,0.0,0.76925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20790763035972892
4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77038,0.0,0.0,0.0,1.0,0.6369258275629058
16586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84797,1.0,0.8355921380091693
8259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50822,0.0,0.72474,1.0,0.30694238426652276
8465,0.75458,0.0,0.0,0.0,0.0,0.26812,0.0,0.0,0.0,0.0,0.0,0.0,0.3908553071687179
93902,0.0,0.0,0.0,0.0,0.0,0.0,0.88907,0.0,0.0,0.0,0.0,1.0,0.40981473106318816
45924,0.0,0.0,0.0,0.0,0.0,0.3261,0.0,0.0,0.0,0.0,0.0,0.0,0.15954022738205742
97400,0.0,0.0,0.0,0.0,0.0,0.49177,0.0,0.0,0.0,0.0,0.0,0.0,0.15748135225420595
2434,0.0,0.0,0.80317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3764653496969451
28624,0.0,0.0,0.0,0.0,0.0,0.0,0.86886,0.0,0.0,0.0,0.0,0.0,0.40896692891435804
57106,0.0,0.0,0.0,0.0,0.0,0.0,0.82779,0.0,0.0,0.0,0.0,1.0,0.40576885419361325
42441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2825,0.0,0.0,0.0,0.0,0.5496654274262937
60369,0.0,0.75164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484427093177646
59788,0.0,0.75593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5484427093177646
78177,0.0,0.0,0.0,0.0,0.0,0.76018,0.0,0.0,0.0,0.0,0.0,0.0,0.13993692135345903
51043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52726,0.0,0.0,0.0,1.0,0.5631306442336325
10703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83747,0.0,0.0,0.7798203947865525
32823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35581,0.0,1.0,0.6792987442646152
75545,0.0,0.0,0.0,0.78495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19112141213041928
88924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92636,0.0,0.0,0.0,1.0,0.642114420632254
20514,0.89835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4245975278516359
64148,0.0,0.0,0.85977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73735,1.0,0.9122228802911836
26872,0.0,0.0,0.0,0.0,0.0,0.0,0.54749,0.0,0.0,0.0,0.0,0.0,0.5319244649128712
100127,0.83969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68099,0.0,1.0,0.746736551723538
5308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39776,1.0,0.8449420736810552
35242,0.0,0.0,0.0,0.0,0.0,0.66763,0.0,0.0,0.0,0.0,0.0,0.0,0.1424057234887026
105172,0.0,0.75312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484427093177646
28064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74535,1.0,0.8480991620717097
12864,0.0,0.75252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5484427093177646
61206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5844,1.0,0.8490152757100821
91115,0.0,0.0,0.0,0.84873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13938072537070906
75692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6012,0.0,0.0,0.0,0.273661317609829
76702,0.0,0.0,0.0,0.0,0.0,0.0,0.63226,0.0,0.0,0.0,0.0,1.0,0.5299390493491924
22098,0.0,0.0,0.0,0.0,0.0,0.0,0.85359,0.0,0.35411,0.0,0.0,1.0,0.2734328198016507
41323,0.0,0.0,0.0,0.0,0.0,0.0,0.82343,0.0,0.0,0.0,0.0,0.0,0.42782957526074533
56166,0.0,0.0,0.0,0.0,0.0,0.81012,0.0,0.0,0.0,0.0,0.0,0.0,0.14128121990156053
76791,0.0,0.79525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5531402159197096
100184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65357,1.0,0.850267308367618
113165,0.0,0.0,0.0,0.0,0.0,0.27694,0.0,0.8858,0.0,0.0,0.0,1.0,0.36367759139374495
53787,0.0,0.0,0.0,0.0,0.0,0.0,0.73404,0.0,0.0,0.0,0.0,1.0,0.5305180280409814
64750,0.0,0.0,0.0,0.0,0.0,0.81915,0.0,0.84468,0.0,0.0,0.0,1.0,0.17298776717349287
26027,0.0,0.0,0.0,0.0,0.0,0.0,0.64701,0.0,0.0,0.0,0.0,0.0,0.5333632314018891
49578,0.0,0.76157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5423426241045589
112878,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.0,0.0,0.0,0.0,0.0,0.40896692891435804
25978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89389,0.80411,0.0,0.0,0.0,0.31638833896110896
6788,0.0,0.0,0.0,0.0,0.0,0.35016,0.0,0.0,0.0,0.0,0.0,0.0,0.15198998970342736
11961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88278,0.0,1.0,0.8057903835749234
65881,0.0,0.0,0.0,0.0,0.0,0.74387,0.0,0.0,0.0,0.0,0.0,0.0,0.14046241514675678
88132,0.0,0.0,0.0,0.84296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17066162807083846
78486,0.0,0.0,0.0,0.0,0.77311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26305997639516704
102194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49103,1.0,0.8495100815834461
16040,0.0,0.0,0.0,0.79222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19037121515690758
83737,0.0,0.0,0.0,0.0,0.804,0.0,0.88228,0.0,0.0,0.0,0.0,0.0,0.3179425251806798
5677,0.0,0.0,0.0,0.0,0.0,0.81987,0.0,0.73447,0.0,0.0,0.0,0.0,0.20025677910262038
32656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93593,1.0,0.7267171486089308
67379,0.0,0.0,0.0,0.0,0.0,0.0,0.25143,0.0,0.0,0.0,0.0,1.0,0.5507389449715124
67639,0.0,0.0,0.0,0.0,0.77766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2204210875062782
40465,0.0,0.76758,0.0,0.0,0.0,0.7548,0.0,0.0,0.0,0.0,0.0,1.0,0.19463443076220477
44577,0.0,0.0,0.0,0.0,0.0,0.0,0.71167,0.4751,0.0,0.0,0.0,0.0,0.5408645758671098
36478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82415,1.0,0.8426434677686061
39341,0.0,0.0,0.0,0.0,0.0,0.81171,0.0,0.0,0.0,0.0,0.0,0.0,0.14128121990156053
37090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25367,1.0,0.7364983188405955
29242,0.0,0.0,0.76958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4384330302114408
13073,0.0,0.0,0.0,0.0,0.0,0.0,0.84529,0.87549,0.0,0.0,0.0,0.0,0.4956855956560436
102901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82493,0.0,1.0,0.7801085082429741
78058,0.81614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998397846232763
105305,0.0,0.0,0.0,0.0,0.0,0.61067,0.0,0.0,0.0,0.0,0.0,0.0,0.14037015861273264
74522,0.89973,0.0,0.0,0.0,0.0,0.0,0.33875,0.0,0.0,0.0,0.0,0.0,0.42172794217660914
107719,0.0,0.0,0.0,0.0,0.88344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13234043961611489
34966,0.0,0.0,0.0,0.0,0.0,0.73986,0.0,0.0,0.0,0.0,0.0,0.0,0.14046241514675678
65426,0.0,0.0,0.0,0.0,0.0,0.79747,0.0,0.0,0.0,0.0,0.0,0.0,0.14128121990156053
56650,0.0,0.0,0.0,0.0,0.0,0.68693,0.0,0.0,0.0,0.0,0.0,0.0,0.1424057234887026
62001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87901,0.0,1.0,0.798434671902959
44934,0.0,0.0,0.0,0.0,0.0,0.0,0.79883,0.79825,0.8572,0.0,0.0,1.0,0.16151067439377476
101694,0.0,0.0,0.0,0.0,0.0,0.74721,0.0,0.0,0.0,0.0,0.0,0.0,0.13993692135345903
54574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62182,0.0,0.0,0.0,1.0,0.5911998166079427
115311,0.78072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5215491660934607
21366,0.0,0.0,0.0,0.0,0.0,0.76154,0.0,0.0,0.0,0.0,0.0,0.0,0.13993692135345903
114256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6765,1.0,0.850267308367618
93337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81602,0.0,1.0,0.7801085082429741
22704,0.0,0.0,0.0,0.87141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15118007760187294
10248,0.0,0.0,0.0,0.0,0.0,0.0,0.88006,0.0,0.0,0.42627,0.0,0.0,0.6315525286168455
10126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83339,0.0,0.0,0.7798203947865525
109822,0.81368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097574565012822
74989,0.0,0.0,0.0,0.0,0.77045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25058832106636886
13413,0.0,0.0,0.0,0.0,0.0,0.0,0.81596,0.83646,0.0,0.0,0.0,0.0,0.42819312425081396
7335,0.0,0.0,0.0,0.0,0.0,0.0,0.86768,0.0,0.34957,0.0,0.0,0.0,0.16538520036498305
27342,0.0,0.75135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484427093177646
67679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25432,1.0,0.7401621534024545
96656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51048,0.0,1.0,0.7666974062687311
85941,0.0,0.0,0.0,0.0,0.0,0.0,0.48337,0.31651,0.40436,0.0,0.0,1.0,0.255501772852531
62802,0.76255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5264554399063469
57420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52916,0.0,0.0,0.0,0.0,0.5631306442336325
69633,0.0,0.0,0.0,0.0,0.0,0.0,0.27639,0.55115,0.81747,0.0,0.0,1.0,0.3325098593989564
16635,0.0,0.0,0.0,0.80215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18755547070393458
98105,0.0,0.0,0.0,0.75242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24283120697453683
94068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39843,0.0,0.0,0.0,1.0,0.5484185990088392
96275,0.0,0.0,0.0,0.0,0.0,0.83311,0.0,0.0,0.0,0.0,0.0,0.0,0.14280047177075642
39398,0.0,0.0,0.0,0.0,0.0,0.42353,0.0,0.0,0.0,0.0,0.0,0.0,0.1440175163383091
40726,0.0,0.77571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5569728670371522
75588,0.0,0.0,0.78193,0.0,0.0,0.0,0.0,0.65271,0.0,0.0,0.0,1.0,0.5587003595969575
