,Bedroom,Dinning,Livingroom,Bathroom,bench,snowboard,chair,couch,potted plant,bed,dining table,y_test,y_pred
103389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89603,1.0,1.0
64658,0.0,0.75867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80750,0.0,0.0,0.0,0.0,0.0,0.3307,0.0,0.0,0.0,0.0,0.0,1.0,0.7
18974,0.0,0.0,0.77959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116811,0.0,0.0,0.0,0.0,0.0,0.82743,0.0,0.0,0.0,0.0,0.0,1.0,1.0
94507,0.79548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
112153,0.0,0.0,0.0,0.8246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
52821,0.0,0.0,0.0,0.0,0.27264,0.0,0.86354,0.0,0.0,0.0,0.0,0.0,0.3
113800,0.77586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
75244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95603,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,0.81045,0.0,0.0,0.0,0.0,0.0,1.0,1.0
103622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83886,1.0,0.9
18875,0.82489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
39285,0.0,0.0,0.0,0.0,0.0,0.0,0.45212,0.65669,0.0,0.0,0.0,1.0,0.2
59712,0.0,0.0,0.0,0.0,0.0,0.0,0.78741,0.0,0.0,0.0,0.0,1.0,0.0
36437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8441,0.0,0.9
49678,0.0,0.0,0.0,0.0,0.83881,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20712,0.85366,0.0,0.0,0.0,0.62301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
68956,0.0,0.0,0.0,0.0,0.0,0.3243,0.0,0.0,0.0,0.0,0.0,1.0,1.0
50690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70866,1.0,1.0
33884,0.0,0.0,0.0,0.0,0.0,0.82678,0.0,0.0,0.0,0.0,0.0,1.0,1.0
